index,topic,requires,difficulty,content,question,Failed_Models_Count,Model,target
2020-2e-icho_uk_2020_2e,Physical Chemistry,Calculation,,"The cell potential for the overall cell reaction during electrolysis of water, \ce{2H2O(l) -> 2H2(g) + O2(g)} is \pu{-1.23 V}. What is the standard electrode potential for the half reaction, \ce{2H2O(l) -> O2(g) + 4H+(aq) + 4e-} in V?",../data/icho/uk/2020/2e.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-1.23
2020-2f-icho_uk_2020_2f,Physical Chemistry,Calculation,difficulty-basic,"Assume all processes take place at \pu{298 K}. The enthalpy change of formation of \ce{CH4(g)} is \pu{-74.8 kJ mol^{-1}}, of \ce{CO2(g)} is \pu{-393.5 kJ mol^{-1}} and it is \pu{-285.8 kJ mol^{-1}} for \ce{H2O(l)}. What is the standard enthalpy change of combustion of \ce{CH4} in \pu{kJ mol^{-1}}?",../data/icho/uk/2020/2f.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-890
2020-2g-icho_uk_2020_2g,Physical Chemistry,Calculation,difficulty-basic,Assume all processes take place at \pu{298 K}. The enthalpy change of formation of \ce{CH4(g)} is \pu{-74.8 kJ mol^{-1}} and of \ce{H2O(l)} is \pu{-285.8 kJ mol^{-1}}. What is the standard enthalpy change of combustion of \ce{H2} in \pu{kJ mol^{-1}}?,../data/icho/uk/2020/2g.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-285.8
2020-4e_1-icho_uk_2020_4e,Inorganic Chemistry,Reasoning,difficulty-basic,Talc (\ce{Mg3Si4H2O12}) is a mineral which contains hydroxide ions in addition to silicates. What is the charge of the silicate anion in talc?,../data/icho/uk/2020/4e_1.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",4
2021-1b1_0-icho_uk_2021_q1b1,Physical Chemistry,Reasoning,difficulty-basic,What is the oxidation state of phosphorus in phosphine?,../data/icho/uk/2021/1b1_0.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-3
2021-2f-icho_uk_2021_2f,Physical Chemistry,Calculation,difficulty-basic,"The standard enthalpy change of formation at \pu{298 K} is \pu{-393.5 kJ mol^{-1}} for \ce{CO2}, \pu{-424.8 kJ mol^{-1}} for \ce{KOH}, \pu{-285.8 kJ mol^{-1}} for \ce{H2O} and \pu{-1151.2 kJ mol^{-1}} for \ce{K2CO3}. What is the standard enthalpy change for the reaction \ce{CO2 + 2KOH -> H2O + K2CO3} in \pu{kJ mol^{-1}}?",../data/icho/uk/2021/2f.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-193.9
2022-1d-icho_uk_2022_q1d,Physical Chemistry,Calculation,difficulty-basic,"The average bond enthalpy of \ce{C-C} is \pu{347 kJ mol^{-1}}, \ce{C-H} is \pu{413 kJ mol^{-1}}, \ce{O=O} is \pu{498 kJ mol^{-1}}, \ce{C-O} is \pu{358 kJ mol^{-1}}, \ce{C=O} is \pu{805 kJ mol^{-1}} and \ce{O-H} is \pu{464 kJ mol^{-1}}. What is the enthalpy of combustion of an isomer of octane in \pu{kJ mol^{-1}}?",../data/icho/uk/2022/1d.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-5144
2022-6b-icho_uk_2022_q6b,Physical Chemistry,Calculation,difficulty-basic,"The standard enthalpy change of the reaction \ce{NaOH + HCl -> NaCl + H2O} is \pu{-56.7 kJ mol^{-1}}, the standard enthalpy change of the reaction \ce{SiO2 + 6HF -> H2SiF6 + 2H2O} is \pu{-100.3 kJ mol^{-1}} and the standard enthalpy change of the reaction \ce{NaOH + HF -> H2O + NaF} is \pu{-61.5 kJ mol^{-1}}. What is the standard enthalpy change of the reaction \ce{SiO2 + 6NaF + 6HCl -> H2SiF6 + 6NaCl + 2H2O} in \pu{kJ mol^{-1}}?",../data/icho/uk/2022/6b.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-71.5
2022-XII_2022_0-XII_2022_MD,Organic Chemistry,Knowledge,,How is the oxidation of the crotonaldehyde to crotonic acid achieved?,../data/icho/moldova/2022/XII_2022_0.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Bromine water: 0, Tollens' reagent: 1, \ce{K2Cr2O7} (in acidic medium): 0, \ce{KMnO4} (in acidic medium): 0, \ce{KMnO4} (in basic medium): 0"
2022-XI_2022_1-XI_2022_MD,Organic Chemistry,Reasoning,difficulty-basic,What is the number of stable isomers with the molecular formula \ce{C3H4O}?,../data/icho/moldova/2022/XI_2022_1.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","2: 0, 4: 0, 6: 0, 8: 1"
2022-XI_2022_2-XI_2022_MD,Organic Chemistry,Reasoning,difficulty-basic,Which type of mechanism(s) applies to the dimerization of propyne?,../data/icho/moldova/2022/XI_2022_2.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","addition: 0, addition and substitution: 1, substitution: 0"
2022-X_2022_cal_3-X_2022_MD,General Chemistry,Calculation,difficulty-basic,What is the sum of the stoichiometric coefficients on the left side of the redox reaction equation: \ce{Cd(NCS)2 + KNO3 -> K2CO3 + CO + SO2 + N2 + CdO}?,../data/icho/moldova/2022/X_2022_cal_3.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","10: 0, 14: 0, 18: 0, 23: 1, 9: 0"
2023-1d2_1-icho_uk_2023_q1d2,Physical Chemistry,Knowledge,difficulty-basic,What is the oxidation number of carbon in the products of Sabatier reaction?,../data/icho/uk/2023/1d2_1.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-4
2023-1d2_2-icho_uk_2023_q1d2,Physical Chemistry,Knowledge,difficulty-basic,What is the oxidation number of hydrogen in the reactants of Sabatier reaction?,../data/icho/uk/2023/1d2_2.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",0
2023-1e-icho_uk_2023_q1e,Physical Chemistry,Calculation,difficulty-basic,"The enthalpy change of vaporization of methane is \pu{8.2 kJ mol^{-1}} and the enthalpy change of vaporization of oxygen is \pu{6.8 kJ mol^{-1}}. The enthalpy change of combustion of methane, \ce{CH4(g) + 2O2(g) -> CO2(g) + 2H2O(g)}, is \pu{-890.8 kJ mol^{-1}}. What is the enthalpy change of reaction, in \pu{kJ}, when one mole of liquid methane reacts with liquid oxygen to form gaseous carbon dioxide and gaseous water?",../data/icho/uk/2023/1e.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2",-869
LMU_tox-10-LMU_tox_10,Toxicity/Safety,Knowledge,,Which of the following statements are true for covalent binding of carcinogens to DNA?,../data/safety/LMU_tox/10.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Binding to DNA core regions is higher than to DNA linker regions: 0, Binding to histone-free DNA (mitochondria) is higher than to histone-containing DNA: 1, Binding to non-replicating DNA is higher than to replicating DNA: 1, Binding to transcribed DNA is higher than to non-transcribed DNA: 1"
LMU_tox-14-LMU_tox_14,Toxicity/Safety,Knowledge,,Which of the following statements are true for nicotine?,../data/safety/LMU_tox/14.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Nicotine content of tobacco is the reason for its addictive effect: 1, Nicotine is a carcinogenic component of tobacco: 0, Nicotine is the most important cause of cardiovascular disease as a result of smoking: 1, Smoking cigarettes with low nicotine and condensate content is associated with a significantly lower level of pollutant exposure of the smoker: 1"
LMU_tox-7-LMU_tox_7,Toxicity/Safety,Knowledge,,What statement about the Draize test is true?,../data/safety/LMU_tox/7.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","it determines LD$_{50}$ in prokaryotic cells: 0, it is a HET-CAM (hen's egg-chorioallantoic membrane test) test: 1, it is a eukaryotic mutagenicity test: 0, it is a test for eye irritation: 1, it stains necrotic cells in color: 0"
preference-preferences_choung_91-preference_choung_91,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_91.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]COc1nc(N[C@@H](C)c2ccccn2)nc(N2CCCCCC2)n1[END_SMILES]: 0, [START_SMILES]O=C(c1ccc(-c2ccc3c(c2)CNCC3)s1)N1N=C(c2cccnc2)CC1c1ccccc1O[END_SMILES]: 1"
preference-preferences_choung_929-preference_choung_929,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_929.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]CCc1c(CCOC)nn(-c2ccccc2)c1-c1ccccc1[END_SMILES]: 0, [START_SMILES]Cc1cc(/C=C2\C(=N)N3N=C(S(C)(=O)=O)SC3=NC2=O)c(C)n1Cc1ccccc1[END_SMILES]: 1"
preference-preferences_choung_93-preference_choung_93,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_93.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]C/C(N)=C(/C#N)C(=O)COC(=O)c1cc2c(s1)CCCC2[END_SMILES]: 0, [START_SMILES]O=C(O)[C@H]1CC[C@H](C(=O)N2CC[C@@]3(S(=O)(=O)c4ccc(F)cc4)c4ccc(OCc5c(F)cccc5C(F)(F)F)cc4CC[C@@H]23)CC1[END_SMILES]: 1"
preference-preferences_choung_942-preference_choung_942,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_942.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]COc1cc(N)c(Cl)cc1NC(=O)OCCN1CCCC1[END_SMILES]: 0, [START_SMILES]Cn1cc(C(=O)O)c(=O)c2cc(N)c(N3CCC(c4ccccn4)C3)cc21[END_SMILES]: 1"
preference-preferences_choung_947-preference_choung_947,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_947.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]CNCc1cc(-c2ccccc2)n(S(=O)(=O)c2cccc(OC)c2)c1[END_SMILES]: 0, [START_SMILES]Cc1cccc(C(=O)Nc2n[nH]c3c2CN(C(=O)N2C[C@@H]4CCCN4C[C@@H]2C)C3(C)C)c1[END_SMILES]: 1"
preference-preferences_choung_963-preference_choung_963,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_963.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=C)C1c1ccc(OC)cc1[END_SMILES]: 0, [START_SMILES]NC(=O)CN1CCN([C@@H](COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc2)CC1[END_SMILES]: 1"
preference-preferences_choung_990-preference_choung_990,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_990.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]CC(=O)c1ccc(NCc2coc(-c3ccco3)n2)cc1[END_SMILES]: 0, [START_SMILES]Cc1nnsc1C(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2C2CC2)nc1[END_SMILES]: 1"
preference-preferences_choung_999-preference_choung_999,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_999.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]CCNc1nc(NCC)nc(N/N=C/c2ccc(N(C)C)cc2)n1[END_SMILES]: 0, [START_SMILES]CC[C@@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H]([C@H](C)CC)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](CC2CCCCC2)C(=O)O[C@H](C(C)C)C(=O)N1C[END_SMILES]: 1"
preference-preferences_choung_764-preference_choung_764,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_764.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]CCn1c2c(c3cc(Cl)ccc31)CCCC2(C)CCN(C)C[END_SMILES]: 0, [START_SMILES]Cc1cc(=O)[nH]c(C)c1C(=O)N1C[C@@H]2CN(CC[C@H](NC(=O)C3CCCC3)c3ccccc3)C[C@@H]2C1[END_SMILES]: 1"
preference-preferences_choung_768-preference_choung_768,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_768.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]COCC(C)NC(=O)N1CCC2(C1)OCCO2[END_SMILES]: 0, [START_SMILES]C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@@H]1CN(C)S(=O)(=O)c1cccs1[END_SMILES]: 1"
preference-preferences_choung_780-preference_choung_780,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_780.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]CCN(C)Cc1ccc2c3c(c(=O)[nH]c2c1)CCCN3[END_SMILES]: 0, [START_SMILES]COc1cc(F)ccc1C(CNS(=O)(=O)c1ccc(C(F)(F)F)cc1)N1CCCCCC1[END_SMILES]: 1"
preference-preferences_choung_784-preference_choung_784,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_784.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]CCC(=O)c1cn(CC(=O)NCc2ccco2)c2ccccc12[END_SMILES]: 0, [START_SMILES]O=C(Nc1ccc(-c2nnc(NCCCN3CCCOCC3)o2)cc1)c1ccccc1F[END_SMILES]: 1"
preference-preferences_choung_798-preference_choung_798,Chemical Preference,Intuition,,"Imagine an early virtual screening campaign setting (accounting for simple aspects such as oral availability and small molecular profile, but no other modalities such as covalency or bifunctionality). Which of the following two candidates would you prefer for further development?",../data/preference/preferences_choung_798.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","[START_SMILES]CC(=O)N/C(=C\c1ccc(C)cc1)C(=O)O[END_SMILES]: 0, [START_SMILES]Cn1nccc1Nc1cc(O)cc(O)c1C(=O)N1Cc2ccccc2C1[END_SMILES]: 1"
