-,content,target,Notes,,,,,,,,,,
../data/safety/LMU_tox/10.json,Which of the following statements are true for covalent binding of carcinogens to DNA?,"Binding to DNA core regions is higher than to DNA linker regions: 0, Binding to histone-free DNA (mitochondria) is higher than to histone-containing DNA: 1, Binding to non-replicating DNA is higher than to replicating DNA: 1, Binding to transcribed DNA is higher than to non-transcribed DNA: 1",https://pubmed.ncbi.nlm.nih.gov/9114283/,,,,,,,,,,
../data/metal_complexes/metal_complexes_11.json,"The ligand-field splitting energy (LFSE) is computed as $LFSE=-0.4\cdot Dq \cdot n+0.6 \cdot Dq \cdot m$ with $n$ being the number of electrons in t2g d orbitals ($\mathrm{d}_{xz}$, $\mathrm{d}_{yz}$ and $\mathrm{d}_{xy}$), $m$ the number of electrons in eg d orbitals ($\mathrm{d}_{x^2-y^2}$ and $\mathrm{d_{z^2}}$), and Dq the ligand field splitting parameter. What is the value of LFSE in terms of Dq for the low-spin case in the metal complex tetramethylamine diaquacopper(II) ion?",-0.6,"It should be correct. Cu(II) is a d9, meaning that it has 1 unpaired electron in the high energy orbital, so it is -0.6 thus it is correct",,,,,,,,,,
../data/metal_complexes/metal_complexes_12.json,What is the spin-only magnetic moment (in units of Bohr-magnetons) for the low-spin case of the metal complex \ce{RhCl(CO)(PPh3)2}?,0,Since it is square-planar this seems correct (discussed during Friday's meeting),,,,,,,,,,
../data/electrochemistry/electrochemistry_3.json,"If $E^\circ$(\ce{Cu^{2+}|Cu}) = \pu{0.34 V}, $E^\circ$(\ce{Sn^{2+}|Sn}) = \pu{-0.136 V}, and $E^\circ$(\ce{H+|H2}) = \pu{0.00 V}, which of the following options are correct?","\ce{Cu^{2+}} ions can be reduced by \ce{H2(g)}: 1, \ce{Cu} can be oxidized by \ce{H+}: 0, \ce{Sn^{2+}} can be reduced by \ce{H2}: 0, \ce{Sn} can be oxidized by \ce{Cu^{2+}}: 1",I think this one is correct. So it is interesting that the models fail in this one since it is just establish relations between the different potentials,,,,,,,,,,
../data/oup/drug_synthesis_23.json,Which is the incorrect statement when comparing a cyclic scaffold drug to a linear scaffold drug?,"A drug with a rigid scaffold is more likely to find an active conformation for a specific binding site: 1.0, Cyclic scaffold drugs have a reduced likelihood of binding to target binding sites: 0.0, Cyclic scaffold drugs tend to have stronger interactions with their target binding sites: 0.0, Drugs with cyclic scaffolds exhibit fewer conformations: 0.0",Really really interesting that the models fail here since the question is in the web (Question 7 in https://global.oup.com/uk/orc/chemistry/patrick_synth/student/mcqs/ch07/) and the answer is also published,,,,,,,,,,
../data/oup/molecular_structure_13.json,"In phenol's mass spectrum, how does the intensity of the m/z 95 peak compare to the molecular ion peak at m/z 94?","\pu{10.0%}: 0.0, \pu{6.6%}: 0.0, \pu{7.0%}: 1.0, \pu{94%}: 0.0",Again really interesting that the models fail for this question since the question and the answer can be found in the web (https://global.oup.com/uk/orc/chemistry/duckett2e/student/mcqs/ch05/ Question 4),,,,,,,,,,
../data/polymer_chemistry_fsu/15.json,"Poly(lactic acid) (PLA) can be broken down enzymatically to lactic acid monomer and compound B (a dimer of lactic acid). A plastic sample degraded to \pu{1.044 g}, and titration showed it needed \pu{19.40 cm^3} of \pu{0.100 mol dm^{-3}} \ce{NaOH} to neutralize. What is the number of moles of acid in the sample?",97,,,,,,,,,,,
../data/oxidation_states/simple_oxidation_states_85.json,What is the oxidation state of O in \ce{Al(H2PO4)3}?,-2,"This is correct right? And it is not even complicated. What is going on here? Maybe the question would need to specify ""O atom"" instead of just ""O""",,,,,,,,,,
../data/point_group/pointgroups_6.json,What is the point group of the molecule with SMILES [START_SMILES]C#C/C=C\C#C[END_SMILES]?,"C1: 0, C2: 0, C2v: 1, D2h: 0","Following the flow chart I would say it is correct. No linear, only one Cn, no sigma h, and one sigma v",,,,,,,,,,
../data/polymer_chemistry_fsu/1.json,Which of the following monomers can be polymerized using anionic polymerization?,"isobutene: 0, methyl vinyl ether: 0, n-vinylcarbazole: 1, propiolactone: 1, propylene sulfide: 1","This seems correct to me. I checked some sources and papers that seem to indicate that isobutene and methyl vinyl ether cannot be polymerized via anionic polymerization, but rather via a cationic mechanism",,,,,,,,,,
../data/safety/tox_pharma_vienna/10.json,Which complexing agent is most suitable for oral therapy to release lead stored in the bone to flush out?,"Aurinetricarboxylic acid: 0, BAL (dimercaprol): 0, Calcium or sodium EDTA: 1, D-penicillamine: 1, Dimercaptopropanesulfonate: 0",This seems good to me ,,,,,,,,,,
../data/safety/toxicology_lmu/10.json,"In mines, people used to take birds with them during work. Why did they do this?","Birds are bioindicators for \ce{CO}: 1, Birds are bioindicators of toxic gases: 1, The metabolism in birds is faster than in humans and therefore toxic metabolites are formed more quickly: 0, The respiratory rate of birds is higher than that of humans and therefore a bird suffocates more quickly from \ce{CO} than a human being: 1",Seems correct,,,,,,,,,,
../data/safety/MSDS/9.json,What details are included in the section of the Material Safety Data Sheet (MSDS) that addresses the identification of hazards?,"The acute (short term) health effect: 1, The chronic (long term) health effect: 1, The signs and symptoms of exposure: 0, Toxicology of the chemical: 1","https://www.airgas.com/msds/001062.pdf (In an example MSDS for benzene, I dont seem to see anything about the short or long term effects in section 2 - HAZARD IDENTIFICATION)",,,,,,,,,,
../data/reasoning/IV.json,"The following enthalpy of reactions are known: \ce{B2H6 (g) + 3O2 (g) -> B2O3 (s) + 3H2O (g)}, $\Delta H = -\pu{-1941 kJ}$; \ce{4B (s) + 3O2 (g) -> B2O3 (g)}, $\Delta H = \pu{-4736 kJ}$; \ce{2H2 (g) + O2 (g) -> 2H2O (g)}, $\Delta H = -\pu{-483.6 kJ}$. Given this information, what is the molar enthalpy of formation of \ce{B2H6 (g)}?",-273109,,,,,,,,,,,
../data/reasoning/XXXI.json,"This is the list of the concentrations of solutions for the problem: \ce{CuSO4} (\pu{0.03 M}), \ce{KI} (\pu{0.02 M}), \ce{FeCl3} (\pu{0.02 M}), \ce{NH4OH} (\pu{0.4 M}), \ce{Na2CO3} (\pu{0.05 M}), \ce{Pb(NO3)2} (\pu{0.02 M}), \ce{KMnO4} (\pu{0.01 M}), \ce{HNO3} (\pu{0.05 M}), \ce{H2SO4} (\pu{0.02 M}), \ce{BaCl2} (\pu{0.01 M}), \ce{K2Cr2O7} (\pu{0.05 M}), \ce{Na2SO4} (\pu{0.05 M}), \ce{Na2S} (\pu{0.05 M}), \ce{Al(NO3)3} (\pu{0.03 M}), \ce{AgNO3} (\pu{0.02 M}), \ce{K2CrO4} (\pu{0.02 M}). There are six unlabeled beakers, each representing a single solution from the list or a mix of equal volumes of two of the solutions. Beakers are noted as (1), (2), (3), (4), (5), (6). You are doing a series of tests to identify the components of these beakers. When mixing (1) and (2) a yellow-brown precipitate is formed. When mixing (1) and (3) a bright yellow precipitate is observed. Mixing (2) and (3) results in a dark red precipitate. Mixing (2) and (4) results in the same red precipitate, and gas bubbles are observed. When mixing (3) and (5) a white precipitate is formed. However, when an excess of (5) is added to (3) the precipitate dissolves. Mixing (3) and (6) results in a white precipitate. Mixing (4) and (5) also results in a white precipitate. When (6) is added to the mixture of (4) and (5) the precipitate dissolves and gas bubbles can be observed. When mixing (4) and (6) the solution gets cloudy and gas bubbles can be observed. When adding an excess of (6) to the solution of (4) and (6) the solution becomes clear. Mixing (5) and (6) results in a white precipitate. When adding an excess of (6) to the solution of (5) and (6) the precipitate dissolves. Which of the following are in one of the original six unlabeled beakers?","\ce{AgNO3}: 1, \ce{Al(NO3)3}: 1, \ce{BaCl2}: 0, \ce{CuSO4}: 0, \ce{FeCl3}: 1, \ce{H2SO4}: 0, \ce{HNO3}: 1, \ce{K2Cr2O7}: 0, \ce{K2CrO4}: 0, \ce{KI}: 1, \ce{KMnO4}: 0, \ce{NH4OH}: 1, \ce{Na2CO3}: 1, \ce{Na2SO4}: 0, \ce{Na2S}: 0, \ce{Pb(NO3)2}: 0",,,,,,,,,,,
../data/safety/stolaf/78.json,Which of the following compounds are capable of producing hazardous explosive peroxides?,"cyclohexene: 1, cyclooctene: 1, decalin: 1, ethyl ether: 1, isopropyl ether: 1, para dioxane: 1, tetralin: 1",,all options are correct here?,,,,,,,,,
../data/safety/pubchem_data/pictograms_119.json,What GHS pictogram(s) apply to bromperidol?,"Acute toxicity: 0.0, Compressed gases: 0.0, Corrosives: 0.0, Environment: 0.0, Explosives: 0.0, Flammables: 0.0, Health hazard: 0.0, Irritant: 1.0, Oxidizers: 0.0",,,,,,Seems correct,,,,,
../data/safety/pubchem_data/pictograms_206.json,What GHS pictogram(s) apply to manidipine?,"Acute toxicity: 1.0, Compressed gases: 0.0, Corrosives: 0.0, Environment: 0.0, Explosives: 0.0, Flammables: 0.0, Health hazard: 0.0, Irritant: 0.0, Oxidizers: 0.0",,,,,,Seems correct,,,,,
../data/safety/pubchem_data/pictograms_551.json,"What GHS pictogram(s) apply to 1,2-diphenoxyethane?","Acute toxicity: 0.0, Compressed gases: 0.0, Corrosives: 0.0, Environment: 1.0, Explosives: 0.0, Flammables: 0.0, Health hazard: 0.0, Irritant: 0.0, Oxidizers: 0.0",,,,,,Seems correct,,,,,
../data/safety/blac_gfk/iii_2_5.json,A label on a chemical contains the statement H317. Which statement about the chemical is correct?,"it is a health hazard: 1, it is an environmental hazard: 0, it is harmful to aquatic organisms: 0, it may cause allergic skin reactions: 1",,,,,,,,,,,
../data/biochemistry/biochem_5.json,How does a non-competitive inhibitor influence the enzyme kinetics of a reaction in the Lineweaver-Burk-plot when compared to a competitive inhibitor?,"The intersection with y-axis shift to higher numbers: 0, The intersection with y-axis shift to lower numbers: 0, The slope decreases: 0, The slope increases: 1",,,,,,,,,,,
../data/safety/blac_gfk/i_2_10.json,"In Germany, which of the following ordinances contain information about the regulation of a hazardous paint thinner?","Chemicals Prohibition Ordinance.: 1, Foodstuffs and Feedstuffs Code.: 0, Ordinance on hazardous substances: 0, REACH Regulation [Regulation (EC) No. 1907/2006].: 1",,,,,,,,,,,
../data/safety/blac_gfk/ii_4_20.json,What is hydrofluoric acid used for?,"for cleaning facades: 1, for etching glass: 1, for filling accumulators: 0, for soldering: 0",seems fine,,,,,,,,,,
../data/safety/blac_gfk/ii_4_29.json,Which of the following groups of substances has primarily oxidizing properties?,"chlorates: 1, chlorides: 0, nitrites: 1, sulfates: 0",,,,,,,,,,,
